number,unuversity
1,清华大学
2,北京大学
3,浙江大学
4,上海交通大学
5,复旦大学
6,南京大学
7,中国科学技术大学
8,华中科技大学
9,武汉大学
10,西安交通大学
11,中山大学
12,北京航空航天大学
13,东南大学
14,北京理工大学
15,四川大学
16,哈尔滨工业大学
17,北京协和医学院
18,同济大学
19,中国人民大学
20,北京师范大学
21,天津大学
22,南开大学
23,山东大学
24,西北工业大学
25,厦门大学
26,中南大学
27,吉林大学
28,中国农业大学
29,大连理工大学
30,华东师范大学
31,华南理工大学
32,电子科技大学
33,湖南大学
34,重庆大学
35,南方科技大学
36,北京科技大学
37,上海财经大学
38,南京航空航天大学
39,南京理工大学
40,兰州大学
41,东北大学
42,首都医科大学
43,西安电子科技大学
44,北京交通大学
45,上海科技大学
46,苏州大学
47,华东理工大学
48,中央财经大学
49,哈尔滨工程大学
50,东北师范大学
51,南方医科大学
52,华中农业大学
53,中国石油大学（北京）
54,南京医科大学
55,香港中文大学（深圳）
56,南京农业大学
57,郑州大学
58,暨南大学
59,哈尔滨医科大学
60,南京师范大学
61,武汉理工大学
62,中国矿业大学
63,对外经济贸易大学
64,中国医科大学
65,中国政法大学
66,江南大学
67,天津医科大学
68,上海大学
69,中国海洋大学
70,华中师范大学
71,西南交通大学
72,中国石油大学（华东）
73,中国地质大学（武汉）
74,陕西师范大学
75,北京邮电大学
76,浙江工业大学
77,河海大学
78,北京工业大学
79,西北大学
80,北京化工大学
81,西南大学
82,云南大学
83,西南财经大学
84,南昌大学
85,中南财经政法大学
86,深圳大学
87,西北农林科技大学
88,北京外国语大学
89,中国地质大学（北京）
90,华北电力大学
91,东华大学
92,中国矿业大学（北京）
93,宁波大学
94,华南师范大学
95,江苏大学
96,福州大学
97,扬州大学
98,合肥工业大学
99,北京中医药大学
100,北京林业大学
101,中国传媒大学
102,南京邮电大学
103,上海纽约大学
104,湖南师范大学
105,重庆医科大学
106,福建师范大学
107,浙江师范大学
108,南京工业大学
109,广西大学
110,首都师范大学
111,长安大学
112,南京林业大学
113,华南农业大学
114,上海中医药大学
115,安徽大学
116,贵州大学
117,温州医科大学
118,上海外国语大学
119,杭州电子科技大学
120,广州医科大学
121,广州大学
122,河南大学
123,东北财经大学
124,广东工业大学
125,山西大学
126,湘潭大学
127,中国药科大学
128,南京信息工程大学
129,中央民族大学
130,海南大学
131,山东师范大学
132,浙江理工大学
133,上海理工大学
134,太原理工大学
135,河北工业大学
136,青岛大学
137,大连海事大学
138,外交学院
139,燕山大学
140,东北林业大学
